bulk_symbols,structure
Zr6 Mn6 O18,"Full Formula (Zr2 Mn2 O6)
Reduced Formula: ZrMnO3
abc   :   5.472076   5.812280   5.472014
angles: 118.075767 119.998452  61.920163
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Zr    0.796186  0.611392  0.203742     0.026
  1  Zr    0.29609   0.11171   0.703857    -0.026
  2  Mn    0.512189  0.46354   0.487835    -4.604
  3  Mn    0.012365  0.962613  0.987435     4.604
  4  O     0.186206  0.308748  0.415155     0.003
  5  O     0.920368  0.308747  0.813916     0.003
  6  O     0.420311  0.80856   0.914979    -0.003
  7  O     0.584984  0.308554  0.079655     0.003
  8  O     0.084747  0.808795  0.313934    -0.003
  9  O     0.685953  0.808545  0.579493    -0.003"
Bi14 Mo1 O24,"Full Formula (Bi14 Mo1 O24)
Reduced Formula: Bi14MoO24
abc   :   8.714997   8.741643  10.546219
angles: 114.233336 114.262838  89.741033
pbc   :       True       True       True
Sites (39)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Bi    0.124186  0.945252  0.65886         -0
  1  Bi    0.052221  0.469724  0.335395        -0
  2  Bi    0.344406  0.343534  0.682679         0
  3  Bi    0.267464  0.872962  0.329677        -0
  4  Bi    0.209479  0.448586  0.995263        -0
  5  Bi    0.524737  0.72255   0.65406         -0
  6  Bi    0.458809  0.281337  0.331332        -0
  7  Bi    0.440261  0.789528  0.996164        -0
  8  Bi    0.715026  0.131677  0.6572           0
  9  Bi    0.652232  0.659972  0.317411         0
 10  Bi    0.555517  0.217811  0.001215        -0
 11  Bi    0.93211   0.532298  0.653703         0
 12  Bi    0.866134  0.061687  0.331653         0
 13  Bi    0.786991  0.560848  0.001661         0
 14  Mo    0.982494  0.973982  0.967235         0
 15  O     0.197793  0.062679  0.031696        -0
 16  O     0.995692  0.333417  0.495944         0
 17  O     0.23497   0.550455  0.840844        -0
 18  O     0.294484  0.246465  0.841444         0
 19  O     0.172991  0.010389  0.504453         0
 20  O     0.109223  0.629037  0.238935        -0
 21  O     0.375068  0.882134  0.755713        -0
 22  O     0.324999  0.506254  0.504733         0
 23  O     0.542859  0.605943  0.841245        -0
 24  O     0.596611  0.298797  0.840062        -0
 25  O     0.484937  0.82072   0.481227         0
 26  O     0.497458  0.186537  0.508544         0
 27  O     0.389347  0.703763  0.151505         0
 28  O     0.450662  0.405132  0.15733          0
 29  O     0.872084  0.13094   0.040218        -0
 30  O     0.66231   0.499528  0.481232         0
 31  O     0.614991  0.123     0.237576        -0
 32  O     0.875202  0.37774   0.75326         -0
 33  O     0.882226  0.885418  0.761878         0
 34  O     0.819574  0.001922  0.487581        -0
 35  O     0.698238  0.765301  0.153418        -0
 36  O     0.753523  0.46033   0.16043         -0
 37  O     0.99049   0.672736  0.490426         0
 38  O     0.975597  0.808012  0.021599        -0"
Mn2 Co18 O20,"Full Formula (Mn1 Co9 O10)
Reduced Formula: MnCo9O10
abc   :   8.108414   8.108414   8.639074
angles:  74.533075  74.533075  21.702975
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Mn    0         0         0            4.633
  1  Co    0.201589  0.201589  0.898591     2.747
  2  Co    0.399609  0.399609  0.797924     2.737
  3  Co    0.200002  0.200002  0.400647     2.747
  4  Co    0.398114  0.398114  0.303002     2.737
  5  Co    0.601886  0.601886  0.696998     2.737
  6  Co    0.799998  0.799998  0.599353     2.747
  7  Co    0.600391  0.600391  0.202076     2.737
  8  Co    0.798411  0.798411  0.101409     2.747
  9  Co    0         0         0.5          2.74
 10  O     0.200984  0.200984  0.65024      0.22
 11  O     0.398783  0.398783  0.549259     0.189
 12  O     0.198228  0.198228  0.150287     0.22
 13  O     0.396026  0.396026  0.053257     0.178
 14  O     0.603974  0.603974  0.946743     0.178
 15  O     0.801772  0.801772  0.849713     0.22
 16  O     0.601217  0.601217  0.450741     0.189
 17  O     0.799016  0.799016  0.34976      0.22
 18  O     0.999818  0.999818  0.744081     0.214
 19  O     0.000182  0.000182  0.255919     0.214"
Si6 Bi4 O18,"Full Formula (Si6 Bi4 O18)
Reduced Formula: Si3Bi2O9
abc   :   6.806305   6.806311   9.522600
angles:  89.999959  89.999978 120.000237
pbc   :       True       True       True
Sites (28)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Si    0.216239  0.280382  0.750001        -0
  1  Si    0.719625  0.935858  0.750001         0
  2  Si    0.783763  0.71962   0.250001        -0
  3  Si    0.935858  0.216236  0.249999        -0
  4  Si    0.064144  0.783765  0.750001         0
  5  Si    0.280376  0.064138  0.25             0
  6  Bi    0.666666  0.333333  0.528164        -0
  7  Bi    0.666666  0.333332  0.971836         0
  8  Bi    0.333333  0.666667  0.028163        -0
  9  Bi    0.333334  0.666667  0.471837        -0
 10  O     0.192036  0.247322  0.250001         0
 11  O     0.584196  0.924691  0.608461        -0
 12  O     0.340491  0.415801  0.891536        -0
 13  O     0.944714  0.192039  0.75            -0
 14  O     0.055285  0.80796   0.25             0
 15  O     0.92469   0.340488  0.391539        -0
 16  O     0.924693  0.340491  0.108464         0
 17  O     0.247324  0.055287  0.749999         0
 18  O     0.807964  0.752683  0.749999        -0
 19  O     0.075309  0.65951   0.608461        -0
 20  O     0.415802  0.075308  0.391538        -0
 21  O     0.075308  0.659513  0.891539         0
 22  O     0.659511  0.584198  0.108462        -0
 23  O     0.659507  0.584199  0.391537         0
 24  O     0.752676  0.944712  0.249999         0
 25  O     0.415801  0.075307  0.108462         0
 26  O     0.340493  0.415803  0.608462         0
 27  O     0.584198  0.924691  0.891538        -0"
Mg4 Se4 O16,"Full Formula (Mg2 Se2 O8)
Reduced Formula: MgSeO4
abc   :   4.917481   4.917482   6.485100
angles:  90.000000  90.000000 112.733406
pbc   :       True       True       True
Sites (12)
  #  SP            a          b         c    magmom
---  ----  ---------  ---------  --------  --------
  0  Mg    -0         -0         0                0
  1  Mg    -0         -0         0.5              0
  2  Se     0.352713   0.647287  0.75             0
  3  Se     0.647287   0.352713  0.25             0
  4  O      0.22531    0.278843  0.75             0
  5  O      0.77469    0.721158  0.25             0
  6  O      0.278843   0.22531   0.25             0
  7  O      0.721158   0.77469   0.75             0
  8  O      0.245315   0.754685  0.961269        -0
  9  O      0.754685   0.245315  0.461269        -0
 10  O      0.754685   0.245315  0.038731        -0
 11  O      0.245315   0.754685  0.538731        -0"
Sb4 Mo8 O32,"Full Formula (Sb2 Mo4 O16)
Reduced Formula: Sb(MoO4)2
abc   :  11.930579  11.930579   5.502632
angles:  77.759080  77.759080  23.982818
pbc   :       True       True       True
Sites (22)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sb    0.674077  0.325923  0.75            -0
  1  Sb    0.325923  0.674077  0.25            -0
  2  Mo    0.36973   0.909698  0.454196        -0
  3  Mo    0.63027   0.090302  0.545804        -0
  4  Mo    0.090302  0.63027   0.045804        -0
  5  Mo    0.909698  0.36973   0.954196        -0
  6  O     0.647455  0.446184  0.023552         0
  7  O     0.146296  0.055802  0.187198         0
  8  O     0.055802  0.146296  0.687198         0
  9  O     0.118468  0.296272  0.858578         0
 10  O     0.853704  0.944198  0.812802         0
 11  O     0.944198  0.853704  0.312802         0
 12  O     0.881532  0.703728  0.141422         0
 13  O     0.703728  0.881532  0.641422         0
 14  O     0.621315  0.680599  0.694559         0
 15  O     0.680599  0.621315  0.194559         0
 16  O     0.446184  0.647455  0.523552         0
 17  O     0.378685  0.319401  0.305441         0
 18  O     0.352545  0.553816  0.976448         0
 19  O     0.553816  0.352545  0.476448         0
 20  O     0.319401  0.378685  0.805441         0
 21  O     0.296272  0.118468  0.358578         0"
Mg2 V8 O20,"Full Formula (Mg1 V4 O10)
Reduced Formula: MgV4O10
abc   :   5.368460   5.067565   7.859409
angles: 107.677783 102.047786 100.210443
pbc   :       True       True       True
Sites (15)
  #  SP            a         b         c    magmom
---  ----  ---------  --------  --------  --------
  0  Mg    -0         0.5       0.5          0
  1  V      0.405915  0.339048  0.294555     1.024
  2  V      0.224531  0.165382  0.816035     0.074
  3  V      0.594085  0.660952  0.705445     1.024
  4  V      0.775469  0.834618  0.183965     0.074
  5  O      0.648729  0.35835   0.547259    -0.071
  6  O      0.059363  0.112216  0.314823    -0.007
  7  O      0.351271  0.64165   0.452741    -0.071
  8  O      0.940637  0.887784  0.685177    -0.007
  9  O      0.770587  0.69258   0.951759    -0.023
 10  O      0.229413  0.30742   0.048241    -0.023
 11  O      0.252465  0.442974  0.719624    -0.009
 12  O      0.512585  0.978965  0.198751    -0.022
 13  O      0.747535  0.557026  0.280376    -0.009
 14  O      0.487415  0.021035  0.801249    -0.022"
Cd6 Bi6 O18,"Full Formula (Cd2 Bi2 O6)
Reduced Formula: CdBiO3
abc   :   5.829562   5.830423   5.972227
angles:  60.775157 119.175192 119.979308
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cd    0.637463  0.362356  0.912758        -0
  1  Cd    0.367081  0.632885  0.101244         0
  2  Bi    0.861419  0.1384    0.584691        -0
  3  Bi    0.149711  0.850246  0.449187        -0
  4  O     0.955444  0.735255  0.732417        -0
  5  O     0.511701  0.044626  0.731934        -0
  6  O     0.26461   0.487904  0.731901         0
  7  O     0.78615   0.568216  0.251817         0
  8  O     0.432644  0.966152  0.252321        -0
  9  O     0.033776  0.213959  0.251728         0"
Ti1 W2 O8,"Full Formula (Ti2 W4 O16)
Reduced Formula: Ti(WO4)2
abc   :   5.825081   5.047102  10.524752
angles:  62.472574  90.000000  90.000000
pbc   :       True       True       True
Sites (22)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ti    0.371791  0.5       0.75             0
  1  Ti    0.628209  0.5       0.25             0
  2  W     0.162194  0.264138  0.497723         0
  3  W     0.162194  0.735862  0.002277         0
  4  W     0.837806  0.735862  0.502277         0
  5  W     0.837806  0.264138  0.997723         0
  6  O     0.338383  0.711749  0.861222        -0
  7  O     0.338383  0.288251  0.638778        -0
  8  O     0.661617  0.288251  0.138778        -0
  9  O     0.661617  0.711749  0.361222        -0
 10  O     0.88549   0.18338   0.393078        -0
 11  O     0.88549   0.81662   0.106922        -0
 12  O     0.11451   0.81662   0.606922        -0
 13  O     0.11451   0.18338   0.893078        -0
 14  O     0.601847  0.256395  0.878832        -0
 15  O     0.601847  0.743605  0.621168        -0
 16  O     0.398153  0.743605  0.121168        -0
 17  O     0.398153  0.256395  0.378832        -0
 18  O     0.891551  0.673357  0.889303        -0
 19  O     0.108449  0.326643  0.110697        -0
 20  O     0.891551  0.326643  0.610697        -0
 21  O     0.108449  0.673357  0.389303        -0"
Cr2 Co4 O12,"Full Formula (Cr1 Co2 O6)
Reduced Formula: Cr(CoO3)2
abc   :   6.466756   6.466756   5.799935
angles:  76.619425  76.619425  25.436897
pbc   :       True       True       True
Sites (9)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cr    0         0         0.5          2.114
  1  Co    0.66771   0.66771   0.161668     1.192
  2  Co    0.33229   0.33229   0.838332     1.192
  3  O     0.159496  0.159496  0.378735    -0.073
  4  O     0.486088  0.486088  0.727818    -0.096
  5  O     0.819912  0.819912  0.052445    -0.072
  6  O     0.513912  0.513912  0.272182    -0.096
  7  O     0.840504  0.840504  0.621265    -0.073
  8  O     0.180088  0.180088  0.947555    -0.072"
Mn4 Se12 O32,"Full Formula (Mn4 Se12 O32)
Reduced Formula: MnSe3O8
abc   :  13.018293   7.203576  10.250533
angles:  47.819842  90.000000  90.000000
pbc   :       True       True       True
Sites (48)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Mn    0.82773   0.873758  0.938627     3.221
  1  Mn    0.67227   0.873758  0.438627     3.221
  2  Mn    0.17227   0.126242  0.061373     3.221
  3  Mn    0.32773   0.126242  0.561373     3.221
  4  Se    0.695307  0.332329  0.555079     0.008
  5  Se    0.804693  0.332329  0.055079     0.008
  6  Se    0.304693  0.667671  0.444921     0.008
  7  Se    0.195307  0.667671  0.944921     0.008
  8  Se    0.86312   0.995854  0.565567     0.004
  9  Se    0.63688   0.995854  0.065567     0.004
 10  Se    0.13688   0.004146  0.434433     0.004
 11  Se    0.36312   0.004146  0.934433     0.004
 12  Se    0.991832  0.68294   0.244965     0.023
 13  Se    0.508168  0.68294   0.744965     0.023
 14  Se    0.008168  0.31706   0.755035     0.023
 15  Se    0.491832  0.31706   0.255035     0.023
 16  O     0.750127  0.578557  0.017988    -0.035
 17  O     0.749873  0.578557  0.517988    -0.035
 18  O     0.249873  0.421443  0.982012    -0.035
 19  O     0.250127  0.421443  0.482012    -0.035
 20  O     0.70958   0.077114  0.776122    -0.025
 21  O     0.79042   0.077114  0.276122    -0.025
 22  O     0.29042   0.922886  0.223878    -0.025
 23  O     0.20958   0.922886  0.723878    -0.025
 24  O     0.903192  0.890108  0.766056    -0.049
 25  O     0.596808  0.890108  0.266056    -0.049
 26  O     0.096808  0.109892  0.233944    -0.049
 27  O     0.403192  0.109892  0.733944    -0.049
 28  O     0.748851  0.82955   0.122563    -0.039
 29  O     0.751149  0.82955   0.622563    -0.039
 30  O     0.251149  0.17045   0.877437    -0.039
 31  O     0.248851  0.17045   0.377437    -0.039
 32  O     0.432196  0.34703   0.397696    -0.07
 33  O     0.067804  0.34703   0.897696    -0.07
 34  O     0.567804  0.65297   0.602304    -0.07
 35  O     0.932196  0.65297   0.102304    -0.07
 36  O     0.106247  0.844906  0.115204    -0.037
 37  O     0.393753  0.844906  0.615204    -0.037
 38  O     0.893753  0.155094  0.884796    -0.037
 39  O     0.606247  0.155094  0.384796    -0.037
 40  O     0.533311  0.610186  0.1052      -0.038
 41  O     0.966689  0.610186  0.6052      -0.038
 42  O     0.466689  0.389814  0.8948      -0.038
 43  O     0.033311  0.389814  0.3948      -0.038
 44  O     0.308372  0.699826  0.035487    -0.004
 45  O     0.191628  0.699826  0.535487    -0.004
 46  O     0.691628  0.300174  0.964513    -0.004
 47  O     0.808372  0.300174  0.464513    -0.004"
Sr4 Cu4 O8,"Full Formula (Sr1 Cu1 O2)
Reduced Formula: SrCuO2
abc   :   3.445826   3.911703   3.911703
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (4)
  #  SP      a     b     c    magmom
---  ----  ---  ----  ----  --------
  0  Sr    0.5   0.5   0.5     0
  1  Cu    0    -0    -0      -0.001
  2  O     0     0.5  -0      -0
  3  O     0     0     0.5    -0"
Ba4 Pd2 O6,"Full Formula (Ba2 Pd1 O3)
Reduced Formula: Ba2PdO3
abc   :   3.879481   4.115015   7.259138
angles: 106.465437 105.498521  89.999996
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ba    0.64529   0.64529   0.290581         0
  1  Ba    0.35471   0.35471   0.709419         0
  2  Pd    0         0         0                0
  3  O     0.845785  0.845785  0.691571        -0
  4  O     0.154215  0.154215  0.308429        -0
  5  O     0         0.5       0               -0"
Y8 Hf4 O20,"Full Formula (Y4 Hf2 O10)
Reduced Formula: Y2HfO5
abc   :   4.081766   5.948184  10.807186
angles:  90.000000  90.000000 110.066991
pbc   :       True       True       True
Sites (16)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Y     0.139404  0.278856  0.566462        -0
  1  Y     0.139404  0.278856  0.933538        -0
  2  Y     0.860596  0.721144  0.066462        -0
  3  Y     0.860596  0.721144  0.433538        -0
  4  Hf    0.176806  0.353495  0.25            -0
  5  Hf    0.823194  0.646505  0.75            -0
  6  O     0.048868  0.097476  0.119395         0
  7  O     0.290529  0.581022  0.411769        -0
  8  O     0.048868  0.097476  0.380605         0
  9  O     0.290529  0.581022  0.088231        -0
 10  O     0.266397  0.532915  0.75             0
 11  O     0.951132  0.902524  0.619395         0
 12  O     0.733603  0.467085  0.25             0
 13  O     0.709471  0.418978  0.588231        -0
 14  O     0.951132  0.902524  0.880605         0
 15  O     0.709471  0.418978  0.911769        -0"
Mn3 Au3 O6,"Full Formula (Mn1 Au1 O2)
Reduced Formula: MnAuO2
abc   :   2.931188   3.162958   6.290222
angles: 101.556101  90.000015 117.604273
pbc   :       True       True       True
Sites (4)
  #  SP           a          b         c    magmom
---  ----  --------  ---------  --------  --------
  0  Mn    0.5       -0         0.5          3.78
  1  Au    0         -0         0            0.013
  2  O     0.099182   0.198365  0.335666     0.033
  3  O     0.900818   0.801635  0.664334     0.033"
Ti2 V2 O8,"Full Formula (Ti4 V4 O16)
Reduced Formula: TiVO4
abc   :   5.368247   9.413804   5.544402
angles:  92.317592  90.009202  89.997506
pbc   :       True       True       True
Sites (24)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ti    0.250995  0.995994  0.491901     0.026
  1  Ti    0.251109  0.495988  0.991537     0.026
  2  Ti    0.750903  0.254191  0.758319     0.026
  3  Ti    0.751094  0.754212  0.258586     0.026
  4  V     0.993327  0.501064  0.491647     1.034
  5  V     0.493319  0.748551  0.757948     1.034
  6  V     0.993206  0.001204  0.99174      1.034
  7  V     0.49311   0.248445  0.257889     1.034
  8  O     0.242209  0.100523  0.184641    -0.028
  9  O     0.242565  0.600347  0.684436    -0.028
 10  O     0.762133  0.35756   0.438118    -0.043
 11  O     0.762424  0.857529  0.938316    -0.043
 12  O     0.262507  0.892534  0.811996    -0.043
 13  O     0.262403  0.392535  0.311694    -0.043
 14  O     0.742362  0.149585  0.065579    -0.028
 15  O     0.74277   0.649755  0.565676    -0.028
 16  O     0.501899  0.149947  0.551025    -0.019
 17  O     0.502282  0.649888  0.051089    -0.019
 18  O     0.998817  0.394336  0.818531    -0
 19  O     0.998979  0.894373  0.318922    -0
 20  O     0.002244  0.60009   0.198976    -0.019
 21  O     0.001752  0.100059  0.699077    -0.019
 22  O     0.498744  0.85565   0.43129     -0
 23  O     0.498846  0.355639  0.931067    -0"
K1 Y1 O3,"Full Formula (K1 Y1 O3)
Reduced Formula: KYO3
abc   :   4.497543   4.497543   4.497543
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  K     0    0    0       0.004
  1  Y     0.5  0.5  0.5     0.06
  2  O     0.5  0.5  0      -0.562
  3  O     0.5  0    0.5    -0.613
  4  O     0    0.5  0.5    -0.504"
Ti4 Bi8 O20,"Full Formula (Ti2 Bi4 O10)
Reduced Formula: TiBi2O5
abc   :   8.400905   8.400905   5.518134
angles:  90.000000  90.000000 141.191689
pbc   :       True       True       True
Sites (16)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ti    0.191054  0.191054  0.769471        -0
  1  Ti    0.808946  0.808946  0.269471        -0
  2  Bi    0.541115  0.880831  0.733075        -0
  3  Bi    0.119169  0.458885  0.233075        -0
  4  Bi    0.880831  0.541115  0.733075        -0
  5  Bi    0.458885  0.119169  0.233075        -0
  6  O     0.25482   0.445231  0.841548         0
  7  O     0.554769  0.74518   0.341548         0
  8  O     0.269613  0.768515  0.011492         0
  9  O     0.231485  0.730387  0.511492         0
 10  O     0.730387  0.231485  0.511492         0
 11  O     0.768515  0.269613  0.011492         0
 12  O     0.445231  0.25482   0.841548         0
 13  O     0.74518   0.554769  0.341548         0
 14  O     0.91179   0.91179   0.949548        -0
 15  O     0.08821   0.08821   0.449548        -0"
Mo1 W1 O4,
Cs8 Sb4 O10,"Full Formula (Cs4 Sb2 O5)
Reduced Formula: Cs4Sb2O5
abc   :   6.374568   6.374577   8.162993
angles:  82.390491  82.390566  66.185202
pbc   :       True       True       True
Sites (11)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.995277  0.995275  0.008067         0
  1  Cs    0.00287   0.00287   0.498611        -0
  2  Cs    0.339667  0.339666  0.149088         0
  3  Cs    0.670288  0.670288  0.847325         0
  4  Sb    0.348711  0.348711  0.676432         0
  5  Sb    0.64434   0.644341  0.335464         0
  6  O     0.201312  0.628078  0.784789        -0
  7  O     0.835964  0.411217  0.192681        -0
  8  O     0.411217  0.835964  0.192681        -0
  9  O     0.628078  0.201312  0.784789        -0
 10  O     0.465357  0.465357  0.458793         0"
Ti1 Ru1 O4,
Ta12 O2,"Full Formula (Ta12 O2)
Reduced Formula: Ta6O
abc   :   4.889510   4.899520   9.725591
angles:  90.000000  90.000000  95.820228
pbc   :       True       True       True
Sites (14)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ta    0.282862  0.713622  0                0
  1  Ta    0.717138  0.286378  0                0
  2  Ta    0.246427  0.740077  0.332008         0
  3  Ta    0.753573  0.259923  0.332008         0
  4  Ta    0.246427  0.740077  0.667992         0
  5  Ta    0.753573  0.259923  0.667992         0
  6  Ta    0.754689  0.758736  0.167959         0
  7  Ta    0.245311  0.241264  0.167959         0
  8  Ta    0.245311  0.241264  0.832041         0
  9  Ta    0.754689  0.758736  0.832041         0
 10  Ta    0.71904   0.788135  0.5              0
 11  Ta    0.28096   0.211865  0.5              0
 12  O     0         0         0                0
 13  O     0         0.5       0.5              0"
Cr4 Ge8 O24,"Full Formula (Cr2 Ge4 O12)
Reduced Formula: Cr(GeO3)2
abc   :   5.572439   6.549171   6.810612
angles:  82.971147  74.572446  75.214215
pbc   :       True       True       True
Sites (18)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cr    0.739571  0.908264  0.094836     2.251
  1  Cr    0.260429  0.091736  0.905165     2.251
  2  Ge    0.766907  0.376478  0.213404     0.012
  3  Ge    0.734486  0.796707  0.604145     0.012
  4  Ge    0.233093  0.623522  0.786596     0.012
  5  Ge    0.265514  0.203293  0.395855     0.012
  6  O     0.447518  0.395225  0.344358    -0.01
  7  O     0.045348  0.656322  0.612738     0.002
  8  O     0.552482  0.604775  0.655642    -0.01
  9  O     0.954652  0.343678  0.387262     0.002
 10  O     0.242387  0.066271  0.632589     0.005
 11  O     0.251348  0.368596  0.918145    -0.12
 12  O     0.757613  0.933729  0.367412     0.005
 13  O     0.748652  0.631405  0.081855    -0.12
 14  O     0.871685  0.175877  0.03117     -0.06
 15  O     0.615626  0.96216   0.823288    -0.1
 16  O     0.128315  0.824123  0.96883     -0.06
 17  O     0.384374  0.03784   0.176712    -0.1"
Y4 Ge1 O10,"Full Formula (Y4 Ge1 O10)
Reduced Formula: Y4GeO10
abc   :   5.712065   6.475609   6.886349
angles:  91.213617 109.363208 110.737481
pbc   :       True       True       True
Sites (15)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Y     0.853389  0.716672  0.85861     -0.004
  1  Y     0.12678   0.271871  0.14422     -0.032
  2  Y     0.551953  0.950203  0.260832    -0.032
  3  Y     0.448881  0.064641  0.737156    -0.009
  4  Ge    0.095117  0.440954  0.641976    -0.003
  5  O     0.93342   0.271417  0.394605     0.088
  6  O     0.110764  0.717687  0.652336     0.054
  7  O     0.733813  0.964288  0.012537     0.113
  8  O     0.251499  0.039574  0.983557     0.178
  9  O     0.51922   0.585568  0.233234     0.956
 10  O     0.418778  0.427032  0.758378     0.131
 11  O     0.652421  0.871786  0.596604     0.555
 12  O     0.354531  0.13051   0.402256     0.469
 13  O     0.151581  0.638004  0.162405     0.706
 14  O     0.893551  0.344692  0.802395     0.107"
Ti4 Si4 O16,"Full Formula (Ti2 Si2 O8)
Reduced Formula: TiSiO4
abc   :   5.372159   5.372159   5.372159
angles: 107.835708 107.835708 112.794228
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ti    0.875     0.125     0.25             0
  1  Ti    0.125     0.875     0.75             0
  2  Si    0.625     0.375     0.75            -0
  3  Si    0.375     0.625     0.25            -0
  4  O     0.6329    0.191315  0.941585        -0
  5  O     0.191315  0.6329    0.441585        -0
  6  O     0.191315  0.24973   0.058415        -0
  7  O     0.24973   0.191315  0.558415        -0
  8  O     0.3671    0.808685  0.058415        -0
  9  O     0.808685  0.3671    0.558415        -0
 10  O     0.808685  0.75027   0.941585        -0
 11  O     0.75027   0.808685  0.441585        -0"
Na14 Cd2 O9,"Full Formula (Na14 Cd2 O9)
Reduced Formula: Na14Cd2O9
abc   :   6.718647   6.718659   9.359238
angles:  89.999718  89.999610 120.002360
pbc   :       True       True       True
Sites (25)
  #  SP            a          b         c    magmom
---  ----  ---------  ---------  --------  --------
  0  Na     0.318039   0.358393  0.907765        -0
  1  Na     0.95964    0.318046  0.092233         0
  2  Na     0.641585   0.959631  0.90777         -0
  3  Na     0.687173   0.061441  0.409674        -0
  4  Na     0.040361   0.681954  0.907766        -0
  5  Na    -3e-06     -2e-06     0.252822        -0
  6  Na     2e-06      3e-06     0.747178        -0
  7  Na     0.681961   0.641608  0.092235         0
  8  Na     0.061455   0.374284  0.590319        -0
  9  Na     0.374254   0.312821  0.409676        -0
 10  Na     0.938544   0.625716  0.40968         -0
 11  Na     0.312827   0.938558  0.590326        -0
 12  Na     0.625747   0.687179  0.590324        -0
 13  Na     0.358414   0.040368  0.092229        -0
 14  Cd     0.666669   0.333326  0.739841        -0
 15  Cd     0.333331   0.666673  0.260159        -0
 16  O      0.305146   0.962409  0.340527         0
 17  O      0.657254   0.69485   0.340525         0
 18  O      0.037586   0.342736  0.340526         0
 19  O      0.694854   0.037591  0.659473         0
 20  O      0.342746   0.305151  0.659475         0
 21  O      0.962413   0.657263  0.659474        -0
 22  O      0          0         0               -0
 23  O      0.666671   0.333336  0.976172         0
 24  O      0.333329   0.666665  0.023831         0"
Mn1 Cu1 O2,"Full Formula (Mn1 Cu1 O2)
Reduced Formula: MnCuO2
abc   :   2.892766   3.140519   5.874559
angles: 102.373882  90.000000 117.422989
pbc   :       True       True       True
Sites (4)
  #  SP            a          b          c    magmom
---  ----  ---------  ---------  ---------  --------
  0  Mn    -0         -0         -0            3.768
  1  Cu     0.500001   1e-06      0.500001    -0.003
  2  O      0.59504    0.190078   0.820028     0.042
  3  O      0.40496    0.80992    0.179971     0.042"
Cs4 O4,"Full Formula (Cs2 O2)
Reduced Formula: Cs2O2
abc   :   4.333710   5.416157   5.416157
angles:  72.921853  66.417273  66.417302
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs     0.74644  0.25356   0.25356          0
  1  Cs     0.25356  0.74644   0.74644          0
  2  O     -0        0.617197  0.382803        -0
  3  O      0        0.382803  0.617197        -0"
Li2 Cr2 O4,"Full Formula (Li1 Cr1 O2)
Reduced Formula: LiCrO2
abc   :   5.041015   5.041016   5.041016
angles:  33.662299  33.662295  33.662304
pbc   :       True       True       True
Sites (4)
  #  SP            a         b          c    magmom
---  ----  ---------  --------  ---------  --------
  0  Li    -0         0         -0           -0.001
  1  Cr     0.5       0.5        0.5          2.855
  2  O      0.241876  0.241876   0.241876     0.031
  3  O      0.758124  0.758124   0.758124     0.031"
